,Fecha,R0_por_dia,R0_LIMA,R0_ANCASH,R0_PIURA,R0_CALLAO,R0_CAJAMARCA,R0_LA LIBERTAD,R0_LORETO,R0_SAN MARTIN,R0_ICA,R0_AYACUCHO,R0_LAMBAYEQUE,R0_PUNO,R0_UCAYALI,R0_AREQUIPA,R0_AMAZONAS,R0_APURIMAC,R0_CUSCO,R0_HUANCAVELICA,R0_HUANUCO,R0_JUNIN,R0_TACNA,R0_PASCO,R0_MOQUEGUA,R0_TUMBES,R0_MADRE DE DIOS
0,2020-03-11,7.083333333333332,7.666666666666668,inf,inf,inf,,inf,,,inf,,inf,,,2.0,,,inf,,1.0,,,,,,
1,2020-03-16,3.6,3.36231884057971,4.0,8.5,2.0,,4.0,inf,,1.0,,2.6666666666666665,,,2.0,,,4.0,,1.0,inf,,,,,inf
2,2020-03-21,1.869281045751634,1.9310344827586208,1.5,1.1176470588235294,2.5,inf,2.25,1.2857142857142858,,3.0,,1.5,,,3.75,,,2.5,,1.0,1.1111111111111112,,,,inf,1.0
3,2020-03-26,1.8653846153846156,1.7745535714285714,1.8333333333333333,1.0526315789473684,2.2666666666666666,1.0,2.0,3.2222222222222223,inf,1.6666666666666667,inf,2.583333333333333,inf,,1.7333333333333334,,,2.6,,3.0,1.6,inf,inf,,3.333333333333333,1.0
4,2020-03-31,2.598875351452671,2.388679245283019,2.272727272727273,1.85,7.558823529411764,5.0,2.7222222222222223,2.534482758620689,1.6,3.4,3.0,3.9032258064516134,1.0,inf,1.9615384615384612,,inf,2.3076923076923075,inf,1.0,1.625,8.0,3.0,inf,3.6,2.0
5,2020-04-05,2.418319509556437,2.404949973670353,3.72,2.810810810810811,2.315175097276265,3.2,2.204081632653061,2.45578231292517,2.5,3.0,3.333333333333333,3.363636363636364,3.0,1.75,1.6078431372549018,inf,4.0,1.1333333333333333,4.5,4.0,2.269230769230769,1.125,3.333333333333333,3.0,1.8611111111111112,2.5
6,2020-04-10,1.8009245451834182,1.7230129187650536,2.0107526881720434,2.9038461538461537,2.3663865546218488,1.75,1.5925925925925926,1.2770083102493075,2.05,2.372549019607843,2.2,1.732186732186732,1.6666666666666667,2.642857142857143,1.6585365853658536,1.8823529411764703,4.75,1.7352941176470589,1.6666666666666667,2.208333333333333,1.9491525423728813,1.3333333333333333,1.3,5.333333333333333,2.238805970149253,8.0
7,2020-04-15,1.5072451767823134,1.4789681026814083,1.9144385026737971,1.7549668874172186,1.349431818181818,2.2142857142857144,1.6453488372093024,1.4164859002169197,2.1951219512195124,1.6694214876033058,1.5454545454545454,1.5787234042553193,4.8,3.2432432432432434,1.8455882352941175,1.46875,1.7894736842105263,1.2288135593220342,1.7333333333333334,2.641509433962264,1.6869565217391305,3.083333333333333,2.5384615384615383,1.875,1.32,1.525
8,2020-04-20,1.5667197714662418,1.5340264650283555,1.5810055865921788,1.8094339622641509,1.6310526315789473,2.3548387096774195,1.646643109540636,1.2802450229709037,1.3444444444444446,1.6534653465346534,1.3823529411764706,1.7142857142857142,3.2916666666666665,2.158333333333333,1.8804780876494025,1.4468085106382982,1.4705882352941178,1.4,1.5384615384615383,1.2857142857142858,1.5154639175257731,1.7027027027027026,2.0,2.1666666666666665,1.2929292929292928,1.459016393442623
9,2020-04-25,1.5029629369893756,1.4585783901865232,1.5494699646643109,1.7893639207507819,1.2736366569861246,1.4863013698630136,1.9592274678111588,1.7452153110047848,2.0826446280991737,1.9251497005988023,2.7446808510638303,1.5178197064989518,2.2531645569620253,2.6138996138996142,1.6165254237288136,2.411764705882353,1.62,1.3497536945812807,2.9,1.5666666666666669,1.5034013605442176,1.5873015873015872,1.6515151515151516,1.8307692307692307,1.375,1.3146067415730338
10,2020-04-30,1.3392902969927445,1.326804915514593,1.4697833523375143,1.470862470862471,1.2204205725867747,1.5622119815668205,1.488499452354874,1.3420150788211105,1.3571428571428572,1.332814930015552,1.5426356589147288,1.3522099447513811,1.2191011235955056,1.658788774002954,1.255570117955439,1.8536585365853657,1.2469135802469136,1.1569343065693432,1.7413793103448276,1.1453900709219855,1.5407239819004526,1.28,1.3394495412844036,1.3109243697478992,1.3352272727272727,1.1111111111111112
11,2020-05-05,1.2916419886423025,1.3026338639652677,1.3056633048875097,1.3141838351822503,1.2603280049823542,1.1445427728613569,1.3443708609271523,1.2420837589376916,1.5292397660818713,1.3582263710618436,1.4120603015075377,1.1925434116445353,1.0967741935483872,1.3944790739091721,1.269311064718163,1.180921052631579,1.0495049504950495,1.5709779179810726,1.292079207920792,1.1393188854489165,1.3759177679882526,1.21875,1.2191780821917808,1.301282051282051,1.1489361702127658,1.2307692307692308
12,2020-05-10,1.227882073690457,1.23930142647647,1.335115864527629,1.172143503165511,1.204743864272772,1.134020618556701,1.1926655719759167,1.2648026315789471,1.1931166347992352,1.2620274914089349,1.2277580071174377,1.134261241970021,1.0420168067226891,1.2528735632183907,1.3396381578947372,1.0947075208913648,1.0943396226415094,1.3373493975903614,1.0766283524904214,1.3233695652173914,1.2155816435432227,1.0897435897435896,1.1910112359550562,1.0738916256157636,1.2222222222222223,1.30625
13,2020-05-15,1.2235487945521446,1.215755880665519,1.3093012906097021,1.1671810699588476,1.1710418375717802,1.1840909090909093,1.2817806333180355,1.2886866059817943,1.4407051282051282,1.356705241660994,1.3623188405797102,1.1625448367000188,1.0685483870967742,1.5387359836901122,1.2437077961939842,1.2646310432569974,1.0948275862068966,1.0915915915915917,1.1459074733096086,1.1498973305954825,1.2071992976294996,1.258823529411765,1.2405660377358492,1.2844036697247707,1.2303030303030302,1.2344497607655502
14,2020-05-20,1.2128673764340472,1.1977731897950157,1.212780421481985,1.4252974878801234,1.1841214244016345,1.2303262955854126,1.3211600429645542,1.1995459132189707,1.1590656284760843,1.232313095835424,1.2404255319148936,1.1217927898668398,1.1849056603773584,1.273269294468367,1.334649555774926,1.2012072434607646,1.2047244094488192,1.2077028885832186,1.1987577639751552,1.1625,1.1418181818181818,1.5186915887850467,1.5817490494296578,1.792857142857143,1.179802955665025,1.313953488372093
15,2020-05-25,1.2440955954733517,1.2362935693970771,1.2813901345291479,1.302875695732839,1.2252021297574442,1.2074882995319811,1.2978319783197831,1.1501577287066247,1.2562380038387717,1.4287459283387622,1.246998284734134,1.2670816444701796,1.2197452229299364,1.2044745057232051,1.316568047337278,1.201005025125628,1.3202614379084967,1.2517084282460136,1.1450777202072542,1.2135176651305684,1.2044585987261147,1.28,1.1899038461538465,1.2609561752988048,1.1837160751565765,1.5663716814159292
16,2020-05-30,1.0960194180533165,1.0853375558941571,1.1187664041994752,1.1355167912661683,1.0703363914373092,1.1266149870801034,1.142409688870328,1.1287255439751325,1.2666157372039726,1.1578797378170418,1.1485557083906466,1.0888838112647092,1.1201044386422976,1.0950323974082072,1.0856741573033708,1.093444909344491,1.207920792079208,1.0691537761601455,1.1312217194570136,1.1151898734177217,1.1031200423056584,1.1418269230769231,1.181818181818182,1.0679304897314377,1.1031746031746033,1.2071563088512243
17,2020-06-04,1.089626610071052,1.0906112936081187,1.0854349951124145,1.1023095412268784,1.0681954887218046,1.1238532110091743,1.1052823980990678,1.0516766564069335,1.1773220747889024,1.1149396997292642,1.1473053892215568,1.058231035568146,1.1048951048951048,1.0798816568047338,1.0978007761966364,1.1122448979591837,1.2049180327868851,1.083404255319149,1.094,1.1691259931895572,1.0781399808245449,1.1263157894736842,1.1162393162393165,1.047337278106509,1.0983213429256595,1.2589703588143526
