,index,Fecha,N° de contagios,Masculino,Femenino,LIMA,ANCASH,PIURA,CALLAO,CAJAMARCA,LA LIBERTAD,LORETO,SAN MARTIN,ICA,AYACUCHO,LAMBAYEQUE,PUNO,UCAYALI,AREQUIPA,AMAZONAS,APURIMAC,CUSCO,HUANCAVELICA,HUANUCO,JUNIN,TACNA,PASCO,MOQUEGUA,TUMBES,MADRE DE DIOS,R0_por_dia,R0_LIMA,R0_ANCASH,R0_PIURA,R0_CALLAO,R0_CAJAMARCA,R0_LA LIBERTAD,R0_LORETO,R0_SAN MARTIN,R0_ICA,R0_AYACUCHO,R0_LAMBAYEQUE,R0_PUNO,R0_UCAYALI,R0_AREQUIPA,R0_AMAZONAS,R0_APURIMAC,R0_CUSCO,R0_HUANCAVELICA,R0_HUANUCO,R0_JUNIN,R0_TACNA,R0_PASCO,R0_MOQUEGUA,R0_TUMBES,R0_MADRE DE DIOS
0,0,2020-03-06,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2020-03-07,5,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.0,4.0,,,,,,,,,,,,,inf,,,,,,,,,,,
2,2,2020-03-08,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.5,,,,,,,,,,,,,0.0,,,,,,,,,,,
3,3,2020-03-09,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1.5,0.5,,,,,,,,,,,,,,,,,,inf,,,,,,
4,4,2020-03-10,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,
5,5,2020-03-11,8,2,6,6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.0,6.0,,,,,,,,inf,,,,,inf,,,,,,,,,,,
6,6,2020-03-12,8,2,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.3333333333333333,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,
7,7,2020-03-13,10,6,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.25,1.125,,,,,,,,,,,,,,,,inf,,,,,,,,
8,8,2020-03-14,19,12,7,15,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,1.6666666666666667,,inf,inf,,,,,,,inf,,,,,,0.0,,,,,,,,
9,9,2020-03-15,28,15,13,22,1,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4736842105263157,1.4666666666666666,inf,0.0,2.0,,inf,,,,,2.0,,,,,,,,,,,,,,
