DEPARTAMENTO,GRUPO_EDAD,RANGO_EDAD,SEXO,TOTAL_POSITIVOS,TOTAL_FALLECIDOS,COD
AMAZONAS,ADOLESCENTE,12 a 17 años,FEMENINO,12,0,AMAZO
AMAZONAS,ADOLESCENTE,12 a 17 años,MASCULINO,18,0,AMAZO
AMAZONAS,ADULTO,30 a 59 años,FEMENINO,231,4,AMAZO
AMAZONAS,ADULTO,30 a 59 años,MASCULINO,280,7,AMAZO
AMAZONAS,ADULTO MAYOR,60 años a más,FEMENINO,37,3,AMAZO
AMAZONAS,ADULTO MAYOR,60 años a más,MASCULINO,49,12,AMAZO
AMAZONAS,JOVEN,18 a 29 años,FEMENINO,74,0,AMAZO
AMAZONAS,JOVEN,18 a 29 años,MASCULINO,130,1,AMAZO
AMAZONAS,NIÑO,0 a 11 años,FEMENINO,22,0,AMAZO
AMAZONAS,NIÑO,0 a 11 años,MASCULINO,17,0,AMAZO
ANCASH,ADOLESCENTE,12 a 17 años,FEMENINO,29,0,ANCAS
ANCASH,ADOLESCENTE,12 a 17 años,MASCULINO,46,0,ANCAS
ANCASH,ADULTO,30 a 59 años,FEMENINO,1230,20,ANCAS
ANCASH,ADULTO,30 a 59 años,MASCULINO,2252,69,ANCAS
ANCASH,ADULTO MAYOR,60 años a más,FEMENINO,354,79,ANCAS
ANCASH,ADULTO MAYOR,60 años a más,MASCULINO,579,159,ANCAS
ANCASH,JOVEN,18 a 29 años,FEMENINO,330,0,ANCAS
ANCASH,JOVEN,18 a 29 años,MASCULINO,585,0,ANCAS
ANCASH,NIÑO,0 a 11 años,FEMENINO,73,0,ANCAS
ANCASH,NIÑO,0 a 11 años,MASCULINO,62,0,ANCAS
APURIMAC,ADOLESCENTE,12 a 17 años,FEMENINO,5,0,APURI
APURIMAC,ADOLESCENTE,12 a 17 años,MASCULINO,5,0,APURI
APURIMAC,ADULTO,30 a 59 años,FEMENINO,106,2,APURI
APURIMAC,ADULTO,30 a 59 años,MASCULINO,89,0,APURI
APURIMAC,ADULTO MAYOR,60 años a más,FEMENINO,18,4,APURI
APURIMAC,ADULTO MAYOR,60 años a más,MASCULINO,16,1,APURI
