Departamento,Cantidad_Positivos,Poblacion_Contagiada(%),LATITUDE,LONGITUDE,FIRST_IDDP,POBLACION,Cantidad_Fallecidos,Letalidad(%)
LIMA,120183,1.267030769903868,-12.045662,-77.03057,15,9485405,2449,2.04
ANCASH,5582,0.515173245692969,-9.530114,-77.52871800000001,02,1083519,327,5.86
PIURA,11067,0.5960225311273265,-5.197222,-80.626649,20,1856809,584,5.28
CALLAO,14284,1.4363083135745414,-12.063433,-77.147186,07,994494,401,2.81
CAJAMARCA,984,0.07337741944143676,-7.157271000000001,-78.517485,06,1341012,11,1.12
LA LIBERTAD,6082,0.3420543507603707,-8.111596,-79.028716,13,1778080,262,4.31
LORETO,6506,0.7363810256816561,-3.7492349999999997,-73.244396,16,883510,308,4.73
SAN MARTIN,2052,0.2522802966875302,-7.554031,-77.778889,22,813381,40,1.95
ICA,4530,0.5324619607059529,-14.063867000000002,-75.729108,11,850765,298,6.58
AYACUCHO,958,0.1554750590740308,-13.160547,-74.22575400000001,05,616176,8,0.84
LAMBAYEQUE,10100,0.8435928703873845,-6.704267999999999,-79.90620200000001,14,1197260,636,6.3
PUNO,476,0.04059019508022959,-15.840720999999998,-70.027736,21,1172697,9,1.89
UCAYALI,5525,1.112881426260779,-9.037084,-73.508659,25,496459,118,2.14
AREQUIPA,4566,0.33021631121043155,-16.398814,-71.536906,04,1382730,71,1.55
AMAZONAS,873,0.23010986230310188,-6.229337999999999,-77.87240899999999,01,379384,27,3.09
APURIMAC,295,0.07270325488775357,-13.637248000000001,-72.878848,03,405759,7,2.37
CUSCO,1274,0.10567992255669098,-13.516678,-71.978746,08,1205527,5,0.39
HUANCAVELICA,579,0.1665520842022903,-12.787317999999999,-74.973061,09,347639,5,0.86
HUANUCO,1215,0.1685049656957175,-9.929526,-76.239692,10,721047,18,1.48
JUNIN,2249,0.18049208772124126,-11.161392999999999,-75.997976,12,1246038,28,1.24
TACNA,547,0.1660937898534002,-18.013737,-70.250849,23,329332,5,0.91
PASCO,656,0.2582016413122626,-10.683652,-76.256206,19,254065,12,1.83
MOQUEGUA,715,0.4088915322280871,-17.193778,-70.934554,18,174863,4,0.56
TUMBES,1631,0.7253305345921739,-3.570832,-80.458641,24,224863,93,5.7
MADRE DE DIOS,807,0.5720564258878571,-12.594323,-69.176549,17,141070,12,1.49
