NOMBDEP,TOTAL_CASOS,TOTAL_MUERTOS,PR,PCR,LETALIDAD,COD,LATITUDE,LONGITUDE
AMAZONAS,873,27,723,150,3.0927835051546393,AMAZO,-6.229337999999999,-77.87240899999999
ANCASH,5582,327,4736,846,5.858115370834827,ANCAS,-9.530114,-77.52871800000001
APURIMAC,295,7,283,12,2.3728813559322033,APURI,-13.637248000000001,-72.878848
AREQUIPA,4566,71,3753,813,1.5549715286903198,AREQU,-16.398814,-71.536906
AYACUCHO,958,8,643,315,0.8350730688935282,AYACU,-13.160547,-74.22575400000001
CAJAMARCA,984,11,731,253,1.1178861788617886,CAJAM,-7.157271000000001,-78.517485
CALLAO,14284,401,11022,3262,2.807336880425651,CALLA,-12.063433,-77.147186
CUSCO,1274,5,1100,174,0.3924646781789639,CUSCO,-13.516678,-71.978746
HUANCAVELICA,579,5,534,45,0.8635578583765112,HUANC,-12.787317999999999,-74.973061
HUANUCO,1215,18,1099,116,1.4814814814814814,HUANU,-9.929526,-76.239692
ICA,4530,298,3534,996,6.578366445916115,ICA,-14.063867000000002,-75.729108
JUNIN,2249,28,1802,447,1.2449977767896843,JUNIN,-11.161392999999999,-75.997976
LA LIBERTAD,6082,262,4881,1201,4.3077934889838865,LALIB,-8.111596,-79.028716
LAMBAYEQUE,10100,636,8438,1662,6.297029702970297,LAMBA,-6.704267999999999,-79.90620200000001
LIMA,120183,2449,87495,32688,2.0377258014860673,LIMA,-12.045662,-77.03057
LORETO,6506,308,3792,2714,4.734091607746695,LORET,-3.7492349999999997,-73.244396
MADRE DE DIOS,807,12,540,267,1.486988847583643,MADRE,-12.594323,-69.176549
MOQUEGUA,715,4,707,8,0.5594405594405595,MOQUE,-17.193778,-70.934554
PASCO,656,12,618,38,1.829268292682927,PASCO,-10.683652,-76.256206
PIURA,11067,584,10246,821,5.276949489473209,PIURA,-5.197222,-80.626649
PUNO,476,9,458,18,1.8907563025210083,PUNO,-15.840720999999998,-70.027736
SAN MARTIN,2052,40,1552,500,1.949317738791423,SANMA,-7.554031,-77.778889
TACNA,547,5,506,41,0.9140767824497258,TACNA,-18.013737,-70.250849
TUMBES,1631,93,1468,163,5.702023298589822,TUMBE,-3.570832,-80.458641
UCAYALI,5525,118,4804,721,2.1357466063348416,UCAYA,-9.037084,-73.508659
